# Complete Chinese Text Replacement Map for Both Files
# Format: OLD_TEXT|NEW_TEXT

# ============ run_script.sh Remaining Items ============
## 组态选择处理|## Configuration selection processing
执行组态选择|Execute configuration selection
🎯 根据程序 $program_name 自动确定期望文件|🎯 Automatically determine expected files based on program $program_name
创建临时日志文件|Create temporary log file
执行程序并获取退出码|Execute program and get exit code
带输入的程序|Program with input
不带输入的程序|Program without input
确保退出码是数字|Ensure exit code is numeric
⚠️ 无法获取 $program_name 的退出码，假设为失败|⚠️ Cannot get exit code for $program_name, assuming failure
⚠️ $program_name 的退出码不是数字，假设为失败|⚠️ Exit code for $program_name is not numeric, assuming failure
检查退出码|Check exit code
❌ $program_name 非正常退出，退出码|❌ $program_name abnormal exit, exit code
最后的输出|Last output
检查GRASP特定错误|Check GRASP-specific errors
✅ $program_name 完成|✅ $program_name completed
日志格式增强函数|Log format enhancement functions
颜色代码定义|Color code definitions
路径简化函数 - 去除root_path前缀，只显示相对路径|Path simplification function - remove root_path prefix, show only relative path
如果没有提供root_path，尝试从config.toml中获取|If root_path not provided, try to get from config.toml
根目录路径|Root directory path
如果root_path为空或者路径不包含root_path，返回原路径|If root_path is empty or path doesn't contain root_path, return original path
移除root_path前缀|Remove root_path prefix
移除开头的斜杠|Remove leading slash
如果简化后路径为空，表示就是root目录|If simplified path is empty, means it's the root directory
数值高亮函数|Numeric highlighting function
使用颜色高亮数值|Use color to highlight numbers
参数高亮函数|Parameter highlighting function
支持路径简化的日志函数|Log function with path simplification support
增强的配置参数日志函数|Enhanced configuration parameter logging function
配置参数|Configuration parameters
活性空间|Active space
计算能级|Calculation levels
